timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-23T10:15:27.951335,1,69 85 27 87 88 83 68 10 37 85,88 83 89 68 80,1,1,1,5,1,1,5,
2025-09-23T10:16:14.401707,2,4 61 26 57 22 10 28 97 83 76,83 28 27 97 5 76 22 14,1,1,1,8,2,2,13,
2025-09-23T10:16:58.512902,3,3 23 98 18 55 86 75 37 17 12,27 17 12 77 75 55 35 3 86 95,1,1,1,10,3,3,23,
2025-09-23T10:17:50.203778,4,76 37 90 89 70 83 4 50 29 54,8 42 48 90 56 14,0,1,1,6,4,4,29,
2025-09-23T10:19:07.082580,5,32 59 93 72 85 39 47 62 91 72,92 37 73 93,1,1,1,4,5,5,33,
2025-09-23T10:19:56.316456,6,89 34 24 23 60 60 18 69 52 11,69 60 23 22 20 93 98,1,1,1,7,6,6,40,
2025-09-23T10:20:43.170913,7,61 33 26 67 46 62 85 87 65 83,67 85 83 85 23 65 63,1,1,1,7,7,7,47,
2025-09-23T10:21:25.150426,8,41 52 7 75 83 55 44 19 2 84,44 55 55 7 53 98 9 46 33 22,1,1,1,10,8,8,57,
2025-09-23T10:22:08.125537,9,3 5 4 50 55 74 38 59 95 57,3 4 5 55 57 95 38 73 33 34,1,0,1,8,8,9,65,
2025-09-23T10:23:17.125877,10,4 83 25 66 77 3 36 98 74 18,18 87 93 14 34 57 12 6 55 34,0,1,1,10,9,10,75,
