timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-23T10:04:38.565519,1,21 98 44 2 11 75 96 68 65 41,41 92 56 78 21 2 14 57 86 97,,1,1,10,1,1,10,1500
2025-09-23T10:05:33.540249,2,1 49 25 38 81 62 81 12 31 17,17 1 82 82 45 14 25 9 22 24,,1,1,10,2,2,20,1500
2025-09-23T10:06:22.004434,3,48 34 23 73 69 49 22 5 58 82,82 69 58 9 23 21 45 38 11 2,,1,1,10,3,3,30,1500
2025-09-23T10:07:04.980099,4,5 94 71 75 71 61 72 90 57 24,24 57 90 71 71 72 62 28 9 42,,1,1,9,4,4,39,1500
2025-09-23T10:07:54.243232,5,7 3 32 17 66 91 28 5 43 9,5 9 7 45 58 34 95 23 54 45,,1,1,10,5,5,49,1500
2025-09-23T10:08:54.609507,6,80 55 44 88 30 55 91 61 99 9,9 99 55 55 88 44 61 80 90 12,,1,1,10,6,6,59,1000
2025-09-23T10:09:37.082390,7,20 46 47 67 52 26 75 66 48 7,7 66 66 78 21 27 49 56 86 19,,1,1,10,7,7,69,1000
2025-09-23T10:10:04.661953,8,30 16 57 10 20 8 71 6 2 80,80 2 10 6      ,,1,1,4,8,8,73,1000
2025-09-23T10:10:41.955887,9,36 70 84 62 7 9 78 68 58 45,45 78 68 58 7 9 89 80 84 85,,1,1,8,9,9,81,1000
2025-09-23T10:11:20.485580,10,41 6 92 76 68 75 95 22 89 10,89 89 10 22 98 78 2 7 40 50,,1,1,10,10,10,91,1000
2025-09-23T10:11:36.686016,11,27 24 51 72 78 89 98 47 47 35,35 47 98 89      ,,1,1,4,11,11,95,500
2025-09-23T10:11:54.541524,12,84 42 63 75 17 89 20 83 22 41,41 20 22 89 57 83 42   ,,1,1,7,12,12,102,500
2025-09-23T10:12:30.757186,13,6 26 22 32 44 33 7 69 70 64,7 22 44 33 67 20 15 25 24 27,,1,1,10,13,13,112,500
2025-09-23T10:12:59.809664,14,62 7 2 80 23 60 79 49 36 8,8 79 49 22 7 9 42 17 16 14,,1,1,10,14,14,122,500
2025-09-23T10:13:28.269470,15,13 79 92 76 93 88 99 8 44 71,99 88 4 95 97 49    ,,1,1,6,15,15,128,500
