timestamp,attempt,serial,user_input,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-23T05:45:55.485031,1,11 83 58 18 45 11 68 19 95 91,95 91 11 83 58     ,1,1,5,1,1,5,1500
2025-09-23T05:46:21.062836,2,75 4 50 20 7 32 56 54 39 17,39 17 75 4 50 20 7   ,1,1,7,2,2,12,1500
2025-09-23T05:46:48.120587,3,57 8 43 20 77 83 24 88 61 64,24 88 64 54 21     ,1,1,5,3,3,17,1500
2025-09-23T05:47:14.687703,4,62 51 95 66 17 25 81 48 25 58,25 58 62 51 95     ,1,1,5,4,4,22,1500
2025-09-23T05:47:42.112153,5,95 54 25 42 1 21 94 13 38 88,34 88 1 95 24 54    ,1,1,6,5,5,28,1500
2025-09-23T05:48:01.591109,6,58 50 39 44 24 7 88 32 56 92,36 92 58 50      ,1,1,4,6,6,32,1000
2025-09-23T05:48:21.813248,7,55 54 58 70 47 25 64 62 37 50,37 50 55 54 58     ,1,1,5,7,7,37,1000
2025-09-23T05:48:44.725233,8,52 22 21 48 33 99 63 40 5 60,40 5 60 55 52 51    ,1,1,6,8,8,43,1000
2025-09-23T05:49:06.037416,9,90 86 16 89 81 20 3 88 84 10,88 84 10 90 86 16 3   ,1,1,6,9,9,49,1000
2025-09-23T05:49:27.316136,10,21 91 77 57 86 37 18 31 70 26,77 26 21 91 77     ,1,1,5,10,10,54,1000
2025-09-23T05:49:42.328551,11,97 39 76 6 71 47 93 29 22 95,22 95 97 76      ,1,1,4,11,11,58,500
2025-09-23T05:49:59.251128,12,19 81 98 12 46 53 67 54 63 66,66 94 51       ,1,1,3,12,12,61,500
2025-09-23T05:50:17.451848,13,20 3 69 52 65 69 55 52 3 7,55 3 7 69 20     ,1,1,4,13,13,65,500
2025-09-23T05:50:35.397205,14,45 16 32 16 93 49 69 79 82 24,84 24 45 16 32     ,1,1,4,14,14,69,500
2025-09-23T05:50:49.742480,15,47 16 97 86 67 97 35 87 60 69,60 69 45 16      ,1,1,4,15,15,73,500
